action,addr,advpnsc,assignip,auditid,auditreporttype,auditscore,audittime,bandwidth,cookies,cpu,criticalcount,date,devid,devname,dhcp_msg,dir,disk,disklograte,duration,error_num,espauth,esptransform,eventtime,exch,fazlograte,freediskstorage,group,highcount,hostname,idseq,in_spi,init,interface,ip,itime,lease,level,locip,locport,logdesc,logid,logver,lowcount,mac,mediumcount,mem,mode,msg,name,nextstat,out_spi,outintf,passedcount,peer_notif,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,setuprate,spi,stage,status,subtype,sysuptime,time,total,totalsession,tunnelid,tunnelip,tunneltype,type,tz,ui,used,user,useralt,vd,version,vpntunnel,waninfo,xauthgroup,xauthuser
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751816765348005110,,,,,,ArcherAX55,19900372806008840,,,internal1,10.63.44.101,1751816770,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:46:05,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/4,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751816823917439170,,0,0,,,,19900372806008837,,,,,1751816825,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  48; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1177640,17:47:03,,48,,,,event,+0200,,,,,root,,,name=wan1;bytes=1593849093/6922195214;packets=8276187/10646385;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751816875728351290,,,,,,ArcherAX55,19900372806008847,,,internal1,10.63.44.101,1751816876,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:47:55,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751816986156785477,,,,,,ArcherAX55,19900372806008911,,,internal1,10.63.44.101,1751816990,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:49:46,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1177388,,,,1751817086252906170,,,,N/A,,,19900372806008893,,,,,1751817086,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,194329934,,88.61.48.146,500,,,420840721,,,,,,vpn,,17:51:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817096535517549,,,,,,ArcherAX55,19900372806008860,,,internal1,10.63.44.101,1751817096,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:51:36,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751817123927451910,,0,0,,,,19900372806008845,,,,,1751817125,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  51; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1177940,17:52:03,,51,,,,event,+0200,,,,,root,,,name=wan1;bytes=1594100881/6922405698;packets=8277465/10647756;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817206885915890,,,,,,ArcherAX55,19900372806008844,,,internal1,10.63.44.101,1751817212,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:53:27,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817317246190809,,,,,,ArcherAX55,19900372806008843,,,internal1,10.63.44.101,1751817317,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:55:17,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,3/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751817423947400129,,0,0,,,,19900372806008833,,,,,1751817425,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  46; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1178240,17:57:04,,46,,,,event,+0200,,,,,root,,,name=wan1;bytes=1594382523/6922638578;packets=8278783/10649129;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817427676609070,,,,,,ArcherAX55,19900372806008850,,,internal1,10.63.44.101,1751817430,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:57:07,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751817484323006650,,,,,,,19900372806008849,,,internal1,,1751817485,,information,,,DHCP statistics,0100026003,0702111740,,,,,,DHCP statistics,,,,,,,,,,,,,,,,,,,system,,17:58:05,51,,,,,event,+0200,,3,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817538046889390,,,,,,ArcherAX55,19900372806008840,,,internal1,10.63.44.101,1751817538,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,17:58:58,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817648437244530,,,,,,ArcherAX55,19900372806008835,,,internal1,10.63.44.101,1751817649,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:00:48,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1177988,,,,1751817686272903890,,,,N/A,,,19900372806008884,,,,,1751817686,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,194402182,,88.61.48.146,500,,,420997484,,,,,,vpn,,18:01:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,4/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751817723967356830,,0,0,,,,19900372806008862,,,,,1751817725,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  45; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1178540,18:02:03,,45,,,,event,+0200,,,,,root,,,name=wan1;bytes=1594642484/6922976232;packets=8280107/10650545;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817758787631389,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751817759,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:02:38,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751817809257776330,,,,,,,19900372806008887,,,,,1751817812,,notice,,,FortiGate update succeeded,0100041000,0702111740,,,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes virdb(93.04413) etdb(93.04413) avai(4.02314) mmdb(93.04413) from 173.243.140.6:443,,,,,,,,,,,,,,,,,,update,system,,18:03:29,,,,,,event,+0200,,,,,root,,,,,
update,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751817833302730190,,,,,,,19900372806008838,,,,,1751817834,,notice,,,Scanunit reloaded AV Database,0100022813,0702111740,,,,,,scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful,,,,,,,,,,,,,,,,,,,system,,18:03:54,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817869167961330,,,,,,ArcherAX55,19900372806008861,,,internal1,10.63.44.101,1751817874,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:04:29,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751817979528316529,,,,,,ArcherAX55,19900372806008889,,,internal1,10.63.44.101,1751817981,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:06:20,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,1/1,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751818023977351750,,0,0,,,,19900372806008884,,,,,1751818024,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  49; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1178840,18:07:04,,49,,,,event,+0200,,,,,root,,,name=wan1;bytes=1594942757/6923264693;packets=8281497/10651967;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818089918667349,,,,,,ArcherAX55,19900372806008837,,,internal1,10.63.44.101,1751818091,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:08:10,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818200289049790,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751818205,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:10:00,,,,,,event,+0200,,,,,root,,,,,
negotiate,,0,N/A,,,,,,516d437431537959/0000000000000000,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,inbound,,,,,,,1751818221040290249,SA_INIT,,,N/A,,,19900372806008950,,remote,,,1751818222,,error,93.64.253.210,500,Progress IPsec phase 1,0101037128,0702111740,,,,,,progress IPsec phase 1,,,,wan1,,,,,174.164.132.83,53926,ERROR,responder,,,,,,failure,vpn,,18:10:21,,,,,,event,+0200,,,N/A,N/A,root,IKEv2,N/A,,N/A,N/A
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1178588,,,,1751818286292909670,,,,N/A,,,19900372806008903,,,,,1751818290,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,194475802,,88.61.48.146,500,,,421166367,,,,,,vpn,,18:11:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818310679404170,,,,,,ArcherAX55,19900372806008963,,,internal1,10.63.44.101,1751818310,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:11:50,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,5/5,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751818323997440949,,0,0,,,,19900372806008833,,,,,1751818325,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  47; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1179140,18:12:04,,47,,,,event,+0200,,,,,root,,,name=wan1;bytes=1595210241/6923485090;packets=8282822/10653345;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818421109697369,,,,,,ArcherAX55,19900372806008940,,,internal1,10.63.44.101,1751818421,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:13:41,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818531480042710,,,,,,ArcherAX55,19900372806008901,,,internal1,10.63.44.101,1751818536,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:15:32,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,4/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751818624017413949,,0,0,,,,19900372806008881,,,,,1751818624,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  57; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1179440,18:17:04,,57,,,,event,+0200,,,,,root,,,name=wan1;bytes=1595488637/6923710135;packets=8284157/10654726;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818641880395970,,,,,,ArcherAX55,19900372806008838,,,internal1,10.63.44.101,1751818643,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:17:21,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818752250807289,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751818754,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:19:12,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818862641109310,,,,,,ArcherAX55,19900372806008923,,,internal1,10.63.44.101,1751818863,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:21:02,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1179188,,,,1751818886312918410,,,,N/A,,,19900372806008838,,,,,1751818887,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,194548232,,88.61.48.146,500,,,421322934,,,,,,vpn,,18:21:27,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,2/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751818924037441750,,0,0,,,,19900372806008886,,,,,1751818924,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  53; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1179740,18:22:04,,53,,,,event,+0200,,,,,root,,,name=wan1;bytes=1595761606/6923929806;packets=8285501/10656136;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751818973041481630,,,,,,ArcherAX55,19900372806008893,,,internal1,10.63.44.101,1751818974,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:22:53,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819083441777270,,,,,,ArcherAX55,19900372806008873,,,internal1,10.63.44.101,1751819084,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:24:43,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819193872499290,,,,,,ArcherAX55,19900372806008878,,,internal1,10.63.44.101,1751819197,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:26:34,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/1,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751819224047457610,,0,0,,,,19900372806008832,,,,,1751819225,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  54; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1180040,18:27:04,,54,,,,event,+0200,,,,,root,,,name=wan1;bytes=1596075169/6924182318;packets=8286898/10657590;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819304242531609,,,,,,ArcherAX55,19900372806008913,,,internal1,10.63.44.101,1751819306,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:28:23,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819414602875910,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751819415,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:30:15,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1179788,,,,1751819486322903409,,,,N/A,,,19900372806008875,,,,,1751819489,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,194647170,,88.61.48.146,500,,,421508709,,,,,,vpn,,18:31:27,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,4/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751819524067465230,,0,0,,,,19900372806008832,,,,,1751819525,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  52; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1180340,18:32:04,,52,,,,event,+0200,,,,,root,,,name=wan1;bytes=1596331633/6924386668;packets=8288214/10658947;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819525003210130,,,,,,ArcherAX55,19900372806008834,,,internal1,10.63.44.101,1751819526,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:32:05,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751819589707599549,,,,,,,19900372806008832,,,,,1751819593,,notice,,,FortiGate update succeeded,0100041000,0702111740,,,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes idsurldb(5.00466) from 173.243.140.6:443,,,,,,,,,,,,,,,,,,update,system,,18:33:09,,,,,,event,+0200,,,,,root,,,,,
update,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751819612135664250,,,,,,,19900372806008872,,,,,1751819614,,notice,,,Scanunit reloaded AV Database,0100022813,0702111740,,,,,,scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful,,,,,,,,,,,,,,,,,,,system,,18:33:32,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819635383943190,,,,,,ArcherAX55,19900372806008852,,,internal1,10.63.44.101,1751819636,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:33:55,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819745783890470,,,,,,ArcherAX55,19900372806008850,,,internal1,10.63.44.101,1751819750,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:35:46,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,2/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751819824087457630,,0,0,,,,19900372806008879,,,,,1751819824,,notice,,,System performance statistics,0100040704,0702111740,,,,41,,Performance statistics: average CPU: 0; memory:  41; concurrent sessions:  53; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1180640,18:37:04,,53,,,,event,+0200,,,,,root,,,name=wan1;bytes=1596627022/6924845650;packets=8289646/10660506;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819856174233370,,,,,,ArcherAX55,19900372806008858,,,internal1,10.63.44.101,1751819857,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:37:36,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751819966604611130,,,,,,ArcherAX55,19900372806008856,,,internal1,10.63.44.101,1751819967,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:39:27,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751820077004968910,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751820079,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:41:17,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,7014b86201d9a6c5/b23418103e57cf9f,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1180388,,,,1751820086342907989,,,,N/A,,,19900372806008850,,,,,1751820091,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,194722298,,88.61.48.146,500,,,421669104,,,,,,vpn,,18:41:26,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,4/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751820124097427189,,0,0,,,,19900372806008832,,,,,1751820125,,notice,,,System performance statistics,0100040704,0702111740,,,,41,,Performance statistics: average CPU: 0; memory:  41; concurrent sessions:  52; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1180940,18:42:04,,52,,,,event,+0200,,,,,root,,,name=wan1;bytes=1596884062/6925044640;packets=8290943/10661867;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751820187375335949,,,,,,ArcherAX55,19900372806008888,,,internal1,10.63.44.101,1751820191,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:43:08,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751820297745687369,,,,,,ArcherAX55,19900372806008839,,,internal1,10.63.44.101,1751820302,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:44:57,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751820408085938509,,,,,,ArcherAX55,19900372806008878,,,internal1,10.63.44.101,1751820409,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:46:48,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,5/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751820424107438449,,0,0,,,,19900372806008832,,,,,1751820425,,notice,,,System performance statistics,0100040704,0702111740,,,,41,,Performance statistics: average CPU: 0; memory:  41; concurrent sessions:  51; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1181240,18:47:04,,51,,,,event,+0200,,,,,root,,,name=wan1;bytes=1597180569/6925272076;packets=8292293/10663250;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751820518446322370,,,,,,ArcherAX55,19900372806008937,,,internal1,10.63.44.101,1751820519,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:48:38,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751820628850154770,,,,,,ArcherAX55,19900372806008870,,,internal1,10.63.44.101,1751820631,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,18:50:29,,,,,,event,+0200,,,,,root,,,,,
